strength,size,separation,noisefrac,mn_sag,mn_sgd,mn_pcpt,mn_passAgr,md_sag,md_sgd,md_pcpt,md_passAgr,var_sag,var_sgd,var_pcpt,var_passAgr
300,100,0.45,0.2,0.996666666667,1,0.996666666667,0.998333333333,1,1,1,1,0.0001,0,0.0001,2.5E-05
300,100,0.45,0.25,0.998333333333,1,0.996666666667,0.998333333333,1,1,1,1,2.5E-05,0,0.0001,2.5E-05
300,100,0.45,0.3,0.991666666667,1,1,1,1,1,1,1,0.000236111111111,0,0,0
300,100,0.45,0.35,0.985,1,0.998333333333,1,0.991666666667,1,1,1,0.000247222222222,0,2.5E-05,0
300,100,0.45,0.4,0.998333333333,0.998333333333,0.998333333333,1,1,1,1,1,2.5E-05,2.5E-05,2.5E-05,0
300,100,0.45,0.45,0.995,0.998333333333,0.998333333333,1,1,1,1,1,0.000113888888889,2.5E-05,2.5E-05,0
300,100,0.45,0.5,0.988333333333,0.998333333333,1,0.998333333333,0.991666666667,1,1,1,0.000169444444444,2.5E-05,0,2.5E-05
300,100,0.45,0.55,0.95,0.998333333333,0.996666666667,0.996666666667,0.941666666667,1,1,1,0.00127777777778,2.5E-05,4.44444444444E-05,0.0001
300,100,0.45,0.6,0.975,1,1,1,0.983333333333,1,1,1,0.000680555555556,0,0,0
300,100,0.45,0.65,0.983333333333,1,1,1,0.983333333333,1,1,1,0.000166666666667,0,0,0
300,100,0.45,0.7,0.931666666667,0.998333333333,0.995,1,0.95,1,1,1,0.001525,2.5E-05,5.83333333333E-05,0
300,100,0.45,0.75,0.823333333333,0.991666666667,0.993333333333,0.993333333333,0.825,1,1,1,0.00201111111111,0.000125,0.000122222222222,0.000122222222222
300,100,0.45,0.8,0.875,0.998333333333,1,1,0.891666666667,1,1,1,0.00223611111111,2.5E-05,0,0
300,100,0.45,0.85,0.908333333333,1,1,1,0.916666666667,1,1,1,0.00206944444444,0,0,0
300,100,0.45,0.9,0.716666666667,0.996666666667,0.996666666667,0.993333333333,0.691666666667,1,1,1,0.00483333333333,4.44444444444E-05,4.44444444444E-05,0.000122222222222
300,100,0.46,0,0.985,1,0.993333333333,0.998333333333,0.991666666667,1,1,1,0.000358333333333,0,0.000122222222222,2.5E-05
300,100,0.46,0.05,0.993333333333,0.998333333333,0.991666666667,0.998333333333,1,1,1,1,6.66666666667E-05,2.5E-05,0.000236111111111,2.5E-05
300,100,0.46,0.1,0.981666666667,1,0.995,1,0.983333333333,1,1,1,0.000191666666667,0,5.83333333333E-05,0
300,100,0.46,0.15,0.941666666667,0.993333333333,0.998333333333,0.998333333333,0.958333333333,1,1,1,0.001625,0.0004,2.5E-05,2.5E-05
300,100,0.46,0.2,0.988333333333,1,1,1,0.991666666667,1,1,1,0.000169444444444,0,0,0
300,100,0.46,0.25,0.96,0.99,1,0.998333333333,0.958333333333,1,1,1,0.0004,0.000288888888889,0,2.5E-05
300,100,0.46,0.3,0.926666666667,1,0.991666666667,0.995,0.925,1,1,1,0.00134444444444,0,0.000625,0.000225
300,100,0.46,0.35,0.986666666667,0.998333333333,1,0.996666666667,0.991666666667,1,1,1,0.000211111111111,2.5E-05,0,0.0001
300,100,0.46,0.4,0.941666666667,0.998333333333,1,1,0.95,1,1,1,0.000847222222222,2.5E-05,0,0
300,100,0.46,0.45,0.878333333333,0.996666666667,0.998333333333,0.998333333333,0.875,1,1,1,0.00316944444444,0.0001,2.5E-05,2.5E-05
300,100,0.46,0.5,0.92,0.998333333333,1,1,0.925,1,1,1,0.00121111111111,2.5E-05,0,0
300,100,0.46,0.55,0.943333333333,1,0.998333333333,0.998333333333,0.95,1,1,1,0.00106666666667,0,2.5E-05,2.5E-05
300,100,0.46,0.6,0.848333333333,0.996666666667,0.998333333333,0.995,0.866666666667,1,1,1,0.00391388888889,4.44444444444E-05,2.5E-05,0.000113888888889
300,100,0.46,0.65,0.683333333333,0.985,0.99,0.981666666667,0.683333333333,0.991666666667,1,0.983333333333,0.00394444444444,0.000302777777778,0.000288888888889,0.000469444444444
